D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_085.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_085.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_085.jpg,-0.5000001,0.1918725,0,2.703837
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_155.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_155.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_155.jpg,0,0.4375111,0,2.982394
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_224.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_224.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_224.jpg,0,0.6119716,0,3.378463
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_290.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_290.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_290.jpg,0,0.7958482,0,3.88817
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_361.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_361.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_361.jpg,0,1,0,4.758755
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_434.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_434.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_434.jpg,0,1,0,5.686318
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_505.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_505.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_505.jpg,0,1,0,6.377316
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_573.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_573.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_573.jpg,-0.2,1,0,7.283678
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_642.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_642.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_642.jpg,0,1,0,7.948941
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_709.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_709.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_709.jpg,0,1,0,8.623143
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_781.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_781.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_781.jpg,0,1,0,9.520199
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_852.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_852.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_852.jpg,0,1,0,10.41065
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_923.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_923.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_923.jpg,0,1,0,11.07391
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_07_992.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_07_992.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_07_992.jpg,-0.2,1,0,12.05673
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_08_060.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_08_060.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_08_060.jpg,-0.35,1,0,12.47184
D:\vic_car_recordings_comp_vision\IMG\center_2026_04_01_20_29_08_129.jpg,D:\vic_car_recordings_comp_vision\IMG\left_2026_04_01_20_29_08_129.jpg,D:\vic_car_recordings_comp_vision\IMG\right_2026_04_01_20_29_08_129.jpg,0,1,0,13.26995
